School,From,To,Yrs,NCAA_Tournament_2019,Win_Percentage_2019,AP_Rank_2019,NCAA_Tournament_2018,Win_Percentage_2018,AP_Ranked_2018,City,State,Overall_Games_Played,Wins,Losses,Overall_Win_Loss_Percentage,AP_Final_Poll_Appearances,NCAA_Tournament_Appearances,Final_Four_Appearances,NCAA_Championships
Texas A&M-Corpus Christi,2003,2022,20,0,0.438,0,0,0.379,,Corpus Christi,Texas,617,315,302,0.511,0,2,0,0
Texas,1906,2022,116,0,0.568,0,1,0.559,,Austin,Texas,2967,1849,1118,0.623,13,36,3,0
Texas Southern,1978,2022,45,0,0.632,0,1,0.444,,Houston,Texas,1350,676,674,0.501,0,10,0,0
Texas State,1985,2022,38,0,0.706,0,0,0.455,,San Marcos,Texas,1115,525,590,0.471,0,2,0,0
Texas Tech,1926,2022,94,1,0.816,9,1,0.73,14,Lubbock,Texas,2547,1437,1110,0.564,8,19,1,0
Texas Wesleyan,1948,1948,1,,,,,,,Fort Worth,Texas,30,19,11,0.633,0,0,0,0
Texas-Rio Grande Valley,1969,2022,54,0,0.541,0,0,0.455,,Edinburg,Texas,1520,650,870,0.428,0,0,0,0
The Citadel,1913,2022,110,0,0.4,0,0,0.344,,Charleston,South Carolina,2448,1029,1419,0.42,0,0,0,0
Toledo,1916,2022,107,0,0.758,0,0,0.676,,Toledo,Ohio,2632,1518,1114,0.577,2,4,0,0
Towson,1980,2022,43,0,0.313,0,0,0.563,,Towson,Maryland,1272,544,728,0.428,0,2,0,0
Trinity (CT),1897,1911,8,,,,,,,Hartford,Connecticut,81,28,53,0.346,0,,,
Trinity (TX),1971,1973,3,,,,,,,San Antonio,Texas,70,25,45,0.357,0,0,0,0
Troy,1994,2022,29,0,0.4,0,0,0.485,,Troy,Alabama,869,411,458,0.473,0,2,0,0
Tulane,1906,2022,112,0,0.129,0,0,0.452,,New Orleans,Louisiana,2600,1255,1345,0.483,1,3,0,0
Tulsa,1914,2022,109,0,0.563,0,0,0.613,,Tulsa,Oklahoma,2693,1493,1200,0.554,5,16,0,0
U.S. International,1982,1991,10,,,,,,,San Diego,California,279,69,210,0.247,0,0,0,0
UAB,1980,2022,43,0,0.571,0,0,0.606,,Birmingham,Alabama,1384,869,515,0.628,2,16,0,0
UC Davis,2008,2022,15,0,0.355,0,0,0.667,,Davis,California,454,203,251,0.447,0,1,0,0
UC Irvine,1978,2022,45,1,0.838,0,0,0.514,,Irvine,California,1353,680,673,0.503,0,2,0,0
UC Riverside,2002,2022,21,0,0.303,0,0,0.29,,Riverside,California,617,228,389,0.37,0,0,0,0
UC San Diego,2021,2022,2,,,,,,,La Jolla,California,46,20,26,0.435,0,0,0,0
UC Santa Barbara,1964,2022,59,0,0.688,0,0,0.719,,Santa Barbara,California,1675,900,775,0.537,0,6,0,0
UCLA,1920,2022,103,0,0.515,0,1,0.636,,Los Angeles,California,2844,1958,886,0.688,42,51,19,11
UNC Asheville,1987,2022,36,0,0.129,0,0,0.618,,Asheville,North Carolina,1071,515,556,0.481,0,4,0,0
UNC Greensboro,1992,2022,31,0,0.806,0,1,0.771,,Greensboro,North Carolina,949,462,487,0.487,0,4,0,0
UNC Wilmington,1977,2022,46,0,0.303,0,0,0.344,,Wilmington,North Carolina,1363,706,657,0.518,0,6,0,0
Union (NY),1907,1925,19,,,,,,,Schenectady,New York,266,162,104,0.609,0,,,
UT Arlington,1969,2022,54,0,0.515,0,0,0.618,,Arlington,Texas,1552,714,838,0.46,0,1,0,0
Utah State,1904,2022,117,1,0.8,25,0,0.5,,Logan,Utah,2819,1667,1152,0.591,5,22,0,0
Utah,1909,2022,114,0,0.548,0,0,0.657,,Salt Lake City,Utah,2910,1858,1052,0.638,21,29,4,1
Utah Valley,2010,2022,13,0,0.714,0,0,0.676,,Orem,Utah,404,215,189,0.532,0,0,0,0
