date,sp_index,,,,,,,,
6/19/18,5201.8,,,,,,,,
6/20/18,5253.5,,,,,,,,
6/21/18,5259.9,,,,,,,,
6/22/18,5235.6,,,,,,,,
6/25/18,5157.78,,,,,,,,
6/26/18,5176.9,,,,,,,,
6/27/18,5101.63,,,,,,,,
6/28/18,5104.77,,,,,,,,
6/29/18,5044.54,,,,,,,,
7/2/18,5037.15,,,,,,,,
7/3/18,5064.44,,,,,,,,
7/5/18,5118.21,,,,,,,,
7/6/18,5172.32,,,,,,,,
7/9/18,5188.22,,,,,,,,
7/10/18,5154.66,,,,,,,,
7/11/18,5109.26,,,,,,,,
7/12/18,5086.5,,,,,,,,
7/13/18,5115.83,,,,,,,,
7/16/18,5121.35,,,,,,,,
7/17/18,5183.49,,,,,,,,
7/18/18,5198.15,,,,,,,,
7/19/18,5252.92,,,,,,,,
7/20/18,5194.07,,,,,,,,
7/23/18,5190.99,,,,,,,,
7/24/18,5114.63,,,,,,,,
7/25/18,5158.98,,,,,,,,
7/26/18,5200.27,,,,,,,,
7/27/18,5118.3,,,,,,,,
7/30/18,5141.28,,,,,,,,
7/31/18,5150.88,,,,,,,,
8/1/18,5088.69,,,,,,,,
8/2/18,5146.12,,,,,,,,
8/3/18,5184.21,,,,,,,,
8/6/18,5216.68,,,,,,,,
8/7/18,5259.22,,,,,,,,
8/8/18,5263.04,,,,,,,,
8/9/18,5288.98,,,,,,,,
8/10/18,5292.26,,,,,,,,
8/13/18,5262.92,,,,,,,,
8/14/18,5383.22,,,,,,,,
8/15/18,5245.22,,,,,,,,
8/16/18,5258.65,,,,,,,,
8/17/18,5310.36,,,,,,,,
8/20/18,5385.15,,,,,,,,
8/21/18,5429.62,,,,,,,,
8/22/18,5430.03,,,,,,,,
8/23/18,5442.24,,,,,,,,
8/24/18,5381.13,,,,,,,,
8/27/18,5341.09,,,,,,,,
8/28/18,5375.95,,,,,,,,
8/29/18,5365.72,,,,,,,,
8/30/18,5333.18,,,,,,,,
8/31/18,5396.9,,,,,,,,
9/4/18,5424.13,,,,,,,,
9/5/18,5370.37,,,,,,,,
9/6/18,5302.91,,,,,,,,
9/7/18,5324.7,,,,,,,,
9/10/18,5374.62,,,,,,,,
9/11/18,5408.94,,,,,,,,
9/12/18,5393.74,,,,,,,,
9/13/18,5352.33,,,,,,,,
9/14/18,5359.8,,,,,,,,
9/17/18,5305.07,,,,,,,,
9/18/18,5325.57,,,,,,,,
9/19/18,5327.76,,,,,,,,
9/20/18,5350.43,,,,,,,,
9/21/18,5337.52,,,,,,,,
9/24/18,5294.59,,,,,,,,
9/25/18,5290.72,,,,,,,,
9/26/18,5335.88,,,,,,,,
9/27/18,5317.88,,,,,,,,
9/28/18,5307.08,,,,,,,,
10/1/18,5265.61,,,,,,,,
10/2/18,5099.9,,,,,,,,
10/3/18,5108.22,,,,,,,,
10/4/18,5052.76,,,,,,,,
10/5/18,5018.62,,,,,,,,
10/8/18,5031.78,,,,,,,,
10/9/18,5021.28,,,,,,,,
10/10/18,4899.67,,,,,,,,
10/11/18,4846.77,,,,,,,,
10/12/18,4925.73,,,,,,,,
10/15/18,4936.81,,,,,,,,
10/16/18,5024.29,,,,,,,,
10/17/18,4954.53,,,,,,,,
10/18/18,4867.27,,,,,,,,
10/19/18,4798.08,,,,,,,,
10/22/18,4857.21,,,,,,,,
10/23/18,4866.11,,,,,,,,
10/24/18,4782.21,,,,,,,,
10/25/18,4870.24,,,,,,,,
10/26/18,4799.31,,,,,,,,
10/29/18,4836.2,,,,,,,,
10/30/18,4968.05,,,,,,,,
10/31/18,4898.73,,,,,,,,
11/1/18,4976.39,,,,,,,,
11/2/18,5018.63,,,,,,,,
11/5/18,5037.34,,,,,,,,
11/6/18,5050.98,,,,,,,,
11/7/18,5097.48,,,,,,,,
11/8/18,5152.8,,,,,,,,
11/9/18,5046.98,,,,,,,,
